term,estimate,or
intercept,2.215347173621391,9.164590263361161
sex_encoded,-2.416414215042056,0.08924104361219407
age,-0.033179103424668864,0.9673652856369528
fare,0.00068710753546462,1.0006873436479224
pclass_1,1.1160626785778838,3.052810612485566
pclass_2,-0.07121713984919298,0.9312596565902982
pclass_3,-1.0448466305427981,0.35174576229799964
